"","Week","ProbableFOI","ConfirmedFOI","ProbableCumsum","ConfirmedCumsum","WeekID"
"1","12/30/13",1.99999981707207,0,2,0,0
"2","1/6/14",1.99999981707207,0,2,0,1
"3","1/13/14",1.99999981707207,0,2,0,2
"4","1/20/14",4.99999839938061,0,7,0,3
"5","1/27/14",7.99999634144138,0,10,0,4
"6","2/3/14",12.9999910822634,0,15,0,5
"7","2/10/14",10.9999909450674,0,18,0,6
"8","2/17/14",12.9999863261372,0,23,0,7
"9","2/24/14",16.9999751218014,0.999999954268017,32,1,8
"10","3/3/14",19.9999652436932,2.99999958841216,38,3,9
"11","3/10/14",39.9998847554036,12.9999922712949,63,13,10
"12","3/17/14",47.9998243891865,23.9999725608104,80,25,11
"13","3/24/14",70.999646080186,45.999896920111,109,49,12
"14","3/31/14",74.9995266739792,58.9998057305376,138,72,13
"15","4/7/14",85.9993471302152,73.9996649674949,166,99,14
"16","4/14/14",73.9993806974905,65.9996528942514,183,115,15
"17","4/21/14",54.9995145550038,52.9996970256147,193,125,16
"18","4/28/14",39.9996231684627,29.999823017227,206,129,17
"19","5/5/14",37.9996159428094,25.9998323465515,221,141,18
"20","5/12/14",35.9996229855347,21.999852102768,229,147,19
"21","5/19/14",53.9993579229631,44.9996419185756,260,174,20
"22","5/26/14",106.998394990336,84.9991214886126,328,226,21
"23","6/2/14",165.997001353895,137.998201361121,395,285,22
"24","6/9/14",257.993888194906,220.996007826572,518,395,23
"25","6/16/14",295.99155311987,270.993840496448,624,497,24
"26","6/23/14",332.98891346983,308.991606077506,728,594,25
"27","6/30/14",331.987094434486,308.990051647415,850,704,26
"28","7/7/14",379.982552333966,348.986497449184,1004,846,27
"29","7/14/14",397.979505303424,359.984293807867,1126,954,28
"30","7/21/14",507.968451151497,457.975661621743,1358,1162,29
"31","7/28/14",635.95229971278,552.964619588792,1640,1399,30
"32","8/4/14",885.918476704242,742.94233786926,2012,1697,31
"33","8/11/14",1117.87340618895,879.917821456394,2476,2042,32
"34","8/18/14",1490.78650842486,1150.86577434422,3131,2550,33
"35","8/25/14",1778.69157486543,1365.80865473199,3791,3063,34
"36","9/1/14",2071.56904667338,1641.72336138304,4548,3684,35
"37","9/8/14",2204.46192297957,1709.66686079893,5336,4260,36
"38","9/15/14",2518.27309516574,1932.55835398704,6310,4996,37
"39","9/22/14",2706.10185655843,2094.44632265697,7255,5779,38
"40","9/29/14",2714.0003690571,2158.36621778439,8051,6419,39
"41","10/6/14",2574.9531795504,2083.32523740044,8886,7080,40
"42","10/13/14",2478.89590188843,1983.29564551494,9735,7763,41
"43","10/20/14",2455.81928453685,1945.25556152358,10508,8365,42
"44","10/27/14",2455.72546102983,1950.19422619999,11343,9031,43
"45","11/3/14",2490.6065609389,1981.11670550455,12227,9745,44
"46","11/10/14",2441.55307240036,1967.0700244003,12951,10333,45
"47","11/17/14",2382.50341318366,1910.04373683348,13727,10942,46
"48","11/24/14",2313.46044515055,1885.99620200457,14542,11632,47
"49","12/1/14",2183.48754455153,1756.02855527865,15136,12090,48
"50","12/8/14",1943.60599587452,1585.09133257738,15672,12528,49
"51","12/15/14",1653.77410687153,1339.20506472562,16197,12972,50
"52","12/22/14",1664.71986430406,1368.15737125246,16802,13459,51
"53","12/29/14",1585.7473994851,1311.16959499985,17259,13840,52
"54","1/5/15",1441.83591433211,1179.23630515763,17640,14152,53
"55","1/12/15",1026.16262988169,824.461080596446,17829,14284,54
"56","1/19/15",739.390883832304,570.623686102988,17999,14411,55
"57","1/26/15",522.565580509212,377.74882440222,18163,14530,56
"58","2/2/15",521.561923185361,394.734836589336,18351,14679,57
"59","2/9/15",532.548279780038,410.721407987137,18532,14822,58
"60","2/16/15",503.569745823927,405.722680525287,18667,14936,59
"61","2/23/15",464.599870761417,383.73547743161,18816,15063,60
"62","3/2/15",403.650143747055,349.757154025546,18936,15172,61
"63","3/9/15",394.655661493693,340.761761202678,19062,15277,62
"64","3/16/15",292.743949510062,258.818517291377,19109,15322,63
"65","3/23/15",227.800179040712,204.855839756962,19164,15377,64
"66","3/30/15",122.892083725199,120.914794090605,19185,15398,65
"67","4/6/15",92.918332465569,92.9344388582828,19202,15415,66
"68","4/13/15",37.9666304698024,37.9732115765026,19202,15415,67
